sigma,x,y,ev
26.0,-39.87403575546973,-99.0039117607411,15.521291952641878
27.0,-40.55264221304517,-97.84965422521284,15.275892118855491
28.0,-41.33773350069536,-96.42712648748909,15.056932097525017
29.0,-42.26817697288847,-94.74010535953394,14.861533087588159
30.0,-43.38269528380392,-92.78819731185779,14.687056845316125
31.0,-44.71149212640358,-90.57226263741163,14.530995534733904
32.0,-46.25649341338385,-88.11084825850733,14.390854129176265
33.0,-47.95306611743834,-85.47079286718056,14.264023887546289
34.0,-49.632595150515016,-82.79192100842866,14.147740926785781
35.0,-51.07111711407389,-80.23788505967237,14.039330108252013
36.0,-52.12994120310246,-77.88440300723644,13.936697278014272
37.0,-52.81041849242796,-75.69229600395005,13.838602595917521
38.0,-53.183113021835226,-73.57810682024706,13.744500739147293
39.0,-53.323607814779834,-71.46544130833321,13.65424198011813
40.0,-53.29184309400823,-69.29786284855646,13.567847769689813
41.0,-53.132097064567674,-67.03616139580407,13.485381583698095
42.0,-52.87645976371175,-64.65442179727322,13.406883981520947
43.0,-52.54884757764576,-62.136600786496324,13.332341747020106
44.0,-52.16662118428514,-59.475699385152794,13.26167405499121
45.0,-51.741902295504275,-56.67320928915311,13.194729355694957
46.0,-51.2811453875682,-53.740490324243495,13.131290337087332
47.0,-50.785320722790466,-50.70065910036813,13.071074960315023
48.0,-50.249138710816425,-47.588618658836225,13.013753228486213
49.0,-49.6614013425913,-44.451250259251964,12.958957606225733

