sigma,x,y,ev
1,-4.879879879879894,102.86786786786786,17.999366025371803
2,-5.270270270270288,102.86786786786786,17.47093697682137
3,-5.660660660660682,102.86786786786786,15.827490835489492
4,-2.9279279279279535,103.25825825825825,14.1850792485491
5,-0.1951951951951969,103.25825825825825,12.917104700149126
6,-0.1951951951951969,103.25825825825825,12.007995002847842
7,-0.1951951951951969,103.25825825825825,11.392966701350215
8,-0.1951951951951969,103.25825825825825,11.005777427691822
9,-0.5855855855855907,103.25825825825825,10.770498526725001
10,-0.5855855855855907,103.25825825825825,10.650386724831133
11,-0.5855855855855907,103.64864864864865,10.579975442132113
12,-0.9759759759759845,104.03903903903904,10.535735248704778
13,-0.9759759759759845,104.42942942942943,10.52939808535124
14,-1.3663663663663783,104.81981981981983,10.525061760643874
15,-1.3663663663663783,105.60060060060056,10.514613078618616
16,-1.7567567567567721,105.99099099099095,10.526415117098368
17,-34.93993993993996,-99.35435435435436,13.689558917852322
18,-35.330330330330355,-99.74474474474475,13.668052727834121
19,-35.72072072072072,-100.13513513513514,13.644828750218775
20,-36.50150150150151,-100.52552552552554,13.647747543053404
21,-36.8918918918919,-100.52552552552554,13.651776582799027
22,-37.282282282282296,-100.52552552552554,13.64695875471492
23,-38.06306306306308,-100.52552552552554,13.655994115903528
24,-38.45345345345348,-100.13513513513514,13.659036552559451
25,-39.234234234234236,-99.74474474474475,13.668372834759294
26,-39.62462462462463,-98.57357357357358,13.689960351537245
27,-40.40540540540542,-97.40240240240242,13.70871747898719
28,-41.186186186186205,-96.23123123123123,13.709850540585986
29,-42.35735735735736,-94.27927927927928,13.7378250133866
30,-43.52852852852854,-92.32732732732734,13.745040748403412
31,-44.69969969969972,-90.37537537537538,13.736847801898728
32,-46.26126126126127,-87.64264264264266,13.743143771865082
33,-48.21321321321324,-84.90990990990991,13.742016248000011
34,-49.774774774774784,-82.17717717717719,13.723480468885015
35,-50.945945945945965,-79.83483483483484,13.688213026754743
36,-52.11711711711712,-77.4924924924925,13.650868264947304
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
